Time,USDT,USDS,USDC,PayPal USD,USDe,DAI,PAXG_Price,bitcoin,聯準會利率,DXY_Index,USD/EUR,USD/JPY,USD/CNY,UNRATE,NASDAQ_Price,T10YIE(類似通膨日資料),VIX,道瓊平均工業指數,美國公債10年期殖利率,S&P500
2020/2/6,-0.005606,,-0.00699,,,-0.018793,-0.024157,0.012106,0,0.002035,0.00165,0.00173,-0.00043,0,0.006675,0.006024,-0.01254,0.003036,-0.00602,0.003329
2020/2/7,0.000536,,-0.00754,,,0.005873,0.001376,0.006798,0,0.001827,0.003294,-0.00245,0.004404,0,-0.00539,-0.00599,0.034091,-0.00944,-0.03636,-0.00541
2020/2/8,0.001787,,0.002567,,,0.00924,-0.003034,0.007062,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/9,0.001939,,0.00494,,,-0.006467,0.019798,0.025499,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/10,-0.000831,,-0.005585,,,-0.011713,-0.010836,-0.02571,0,0.00152,0.003064,0.000182,-0.00244,0,0.011331,0,-0.0278,0.005989,-0.01887,0.007332
2020/2/11,-0.002216,,-0.003874,,,0.010464,-0.000581,0.035674,0,-0.00111,-0.00044,0.000273,-0.00263,0,0.001096,-0.00602,0.009309,-1.60E-05,0.019231,0.0017
2020/2/12,0.004143,,0.01796,,,0.011388,0.005099,0.011541,-0.00629,0.003343,0.00393,0.002824,0.000861,0,0.009028,0.006061,-0.09486,0.009396,0.018868,0.006433
2020/2/13,-0.00397,,-0.013571,,,-0.023146,-0.002109,-0.01081,0,0.000202,0.002936,-0.00245,0.000717,0,-0.00144,0.006024,0.02984,-0.00434,-0.00617,-0.00163
2020/2/14,0.001537,,-0.002348,,,-0.001423,0.003478,0.009569,0,0.000505,0.000867,-0.00064,0.001419,0,0.001978,-0.00599,-0.03322,-0.00086,-0.01242,0.001867
2020/2/15,-0.000986,,-0.005378,,,-0.008217,-0.001903,-0.04099,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/16,0.000144,,-0.001603,,,0.005719,-0.000919,0.004551,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/17,-0.000799,,0.002242,,,0.015138,0.001098,-0.02459,0,-0.00121,-0.00032,0.001276,-0.00079,0,0,0,0,0,0,0
2020/2/18,0.002288,,0.009213,,,0.014877,-0.031368,0.04663,0,0.004444,0.004009,-0.00018,0.002263,0,0.00016,-0.00602,0.084064,-0.00564,-0.02516,-0.00293
2020/2/19,0.000565,,-0.01352,,,-0.055159,-0.000511,-0.05015,0,0.002715,-0.0013,0.013563,0.000157,0,0.008676,0,-0.03034,0.003963,0.006452,0.004718
2020/2/20,0.001269,,0.002083,,,0.023746,0.008402,-0.00259,0,0.001504,0.002053,0.006825,0.003529,0,-0.00674,-0.01212,0.082058,-0.00436,-0.02564,-0.00384
2020/2/21,0.000542,,0.001697,,,0.012497,0.020573,0.008114,0,-0.00601,-0.00561,-0.00482,0.000584,0,-0.01788,-0.01227,0.097686,-0.00779,-0.03947,-0.01049
2020/2/22,-0.001305,,-0.011177,,,-0.00295,0.000961,-0.0024,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/23,-0.003805,,-0.002642,,,0.015467,0.033135,0.027044,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/24,0.000785,,0.002262,,,-0.024543,0.016883,-0.02764,0,0.001007,-0.00087,-0.00771,0.000327,0,-0.0371,-0.01242,0.465457,-0.03558,-0.05479,-0.03353
2020/2/25,0.002657,,0.000801,,,-0.005214,-0.00662,-0.03197,0,-0.00393,-0.00239,-0.00479,-0.00226,0,-0.02773,-0.03774,0.112665,-0.03145,-0.03623,-0.03029
2020/2/26,0.001286,,0.00266,,,0.016254,0.004835,-0.05579,0,0.000303,0,0.002178,0.001297,0,0.001691,0.006536,-0.01041,-0.00457,0,-0.00377
2020/2/27,-0.004317,,-0.002372,,,-0.001644,0.009359,-0.00408,0,-0.00495,-0.01088,-0.00761,-0.00258,0,-0.04613,-0.00649,0.4209,-0.04418,-0.02256,-0.04415
2020/2/28,-0.001327,,-0.007633,,,0.011409,-0.035574,-0.01275,0,-0.00386,-0.00242,-0.01378,-0.0018,0,0.000104,-0.07843,0.024259,-0.01387,-0.13077,-0.00826
2020/2/29,0.009307,,0.011687,,,-0.011845,0.001374,-0.00841,0,0,0,0,0,0,0,0,0,0,0,0
